,year,I1,I2,I3,I4,I5,I6,I,var,sd
1,1985,0.06,369.47,80.47,3.79,2.29,0.03,456.11,NA,NA
2,1986,0,59.37,158.06,21.29,0.71,0.31,239.74,NA,NA
3,1987,0,88.11,18.25,38.9,3.89,0.15,149.3,NA,NA
4,1988,11.46,320.16,55.27,8.19,12.69,1.23,409,NA,NA
5,1989,2.93,270.01,82.43,9.53,0.37,0.73,366,NA,NA
6,1990,14.86,273.57,130.98,43.2,1.39,0,464,NA,NA
7,1991,9.93,4.08,1.71,0.26,0.03,0,16.01,NA,NA
8,1992,3.38,11.28,3.87,0.44,0.03,0,19,NA,NA
9,1993,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,1994,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,1995,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,1996,0.09,1.84,1.03,0.04,0,0,3,NA,NA
13,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,1998,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,1999,0.53,6.54,6.96,0.68,0,NA,14.71,11.17849667,3.343425888
16,2000,0.6,5.64,1.33,0.4,0.05,NA,8.02,4.676186667,2.162449229
17,2001,0,6.79,2.96,0.3,0.01,NA,10.06,7.617706667,2.760019324
18,2002,0.11,3.5,2.3,0.3,0.02,NA,6.26,2.222426667,1.490780556
19,2003,1.78,4.59,1.98,0.49,0,NA,9.29,2.843096667,1.686148471
20,2004,0.01,8.44,2.29,0.44,0,NA,11.18,11.16786667,3.341835823
21,2005,0.63,2.7,2.29,0.49,0.05,NA,6.16,1.369866667,1.170413033
22,2006,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,2007,4.98,19.31,3.52,0.32,0,NA,28.13,55.65729667,7.460381804
24,2008,4.23,9.6,6.84,0.78,0.01,NA,21.46,16.13834667,4.017256112
25,2009,3.65,18.12,6.07,0.49,0,NA,28.33,48.99541667,6.999672611
26,2010,0.19,1.17,0.6,0.01,0,NA,1.97,0.223656667,0.472923532
27,2011,1.32,12.64,4.69,0.59,0.05,NA,19.29,24.36827,4.936422794
28,2012,0.51,16.25,1.95,0.16,0,NA,18.93,41.68603,6.456471947
29,2013,6.3,25,18.53,0.83,0,NA,50.66,123.86317,11.12938318
30,2014,18.03,80.2,7.67,0.92,0,NA,106.82,1133.67343,33.67006727
31,2015,9.57,23.13,9.61,0.35,NA,NA,45.04,79.75012,8.930292268
32,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,2017,0.07,16.69,1.5,0.04,NA,NA,18.3,65.6967,8.105350085
34,2018,0.67,24.55,6.79,0.03,NA,NA,32.05,110.954,10.53347046
35,2019,0.22,8.9,8.9,0.42,NA,NA,18.44,24.54546667,4.954338166
36,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,2022,3.29,20.76,2.35,0.25,0,NA,26.65,65.80325667,8.111920652
